district,region,date,mean_rainfall
Kibuku,Eastern,1981-03-01,240.53582356770832
Kikuube,Western,1981-03-01,148.75232712765958
Kiruhura,Western,1981-03-01,131.32501594387756
Kiryandongo,Western,1981-03-01,189.3038668592437
Kisoro,Western,1981-03-01,188.78006998697916
Kitagwenda,Western,1981-03-01,143.14286472486413
Kitgum,Northern,1981-03-01,94.10498775652985
Koboko,Northern,1981-03-01,129.23675537109375
Kole,Northern,1981-03-01,172.2197265625
Kotido,Northern,1981-03-01,71.28111758474576
Kumi,Eastern,1981-03-01,200.10890066964285
Kwania,Northern,1981-03-01,185.7858737244898
Kween,Eastern,1981-03-01,219.7154208096591
Kyankwanzi,Central,1981-03-01,186.42578125
Kyegegwa,Western,1981-03-01,161.81722861842104
Kyenjojo,Western,1981-03-01,162.79048295454547
Kyotera,Central,1981-03-01,229.88681640625
Lamwo,Northern,1981-03-01,97.43129855225989
Lira,Northern,1981-03-01,155.78062065972222
Luuka,Eastern,1981-03-01,202.6268310546875
Luwero,Central,1981-03-01,174.87212309966216
Lwengo,Central,1981-03-01,171.1945082720588
Lyantonde,Central,1981-03-01,141.23161368534483
Madi Okollo,Northern,1981-03-01,125.53594333022389
Manafwa,Eastern,1981-03-01,265.1539306640625
Maracha,Northern,1981-03-01,149.31145833333332
Masaka,Central,1981-03-01,208.96949273767606
Masindi,Western,1981-03-01,171.3856548526423
Mayuge,Eastern,1981-03-01,215.36653069690266
Mbale,Eastern,1981-03-01,267.8917236328125
Mbarara,Western,1981-03-01,124.1833984375
Mitooma,Western,1981-03-01,163.12721162683823
Mityana,Central,1981-03-01,163.24942880306602
Moroto,Northern,1981-03-01,83.85208445581897
Moyo,Northern,1981-03-01,-466.87803819444446
Mpigi,Central,1981-03-01,170.90481505102042
Mubende,Central,1981-03-01,153.44656337780899
Mukono,Central,1981-03-01,184.47559643817203
Nabilatuk,Northern,1981-03-01,122.5853211449795
Nakapiripirit,Northern,1981-03-01,166.94309978243672
Nakaseke,Central,1981-03-01,191.76374162946428
Nakasongola,Central,1981-03-01,163.3480129076087
Namayingo,Eastern,1981-03-01,207.65186149691357
Namisindwa,Eastern,1981-03-01,281.7320963541667
Namutumba,Eastern,1981-03-01,218.69212962962962
Napak,Northern,1981-03-01,94.4932643942637
Nebbi,Northern,1981-03-01,132.05359256628788
Ngora,Eastern,1981-03-01,201.423359375
Ntoroko,Western,1981-03-01,-77.88086468240489
Ntungamo,Western,1981-03-01,140.7188387784091
Nwoya,Northern,1981-03-01,156.8694516321656
Obongi,Northern,1981-03-01,106.44315140335648
Omoro,Northern,1981-03-01,145.34276422464623
Otuke,Northern,1981-03-01,128.34461805555554
Oyam,Northern,1981-03-01,185.20648107394365
Pader,Northern,1981-03-01,129.55022967303242
Pakwach,Northern,1981-03-01,127.02820217993951
Pallisa,Eastern,1981-03-01,251.250732421875
Rakai,Central,1981-03-01,186.10779038915095
Rubanda,Western,1981-03-01,170.69520152698863
Rubirizi,Western,1981-03-01,138.58820950255102
Rukiga,Western,1981-03-01,165.47930438701923
Rukungiri,Western,1981-03-01,154.600478515625
Rwampara,Western,1981-03-01,144.229833984375
Serere,Eastern,1981-03-01,202.3255955430328
Sheema,Western,1981-03-01,139.5509192425272
Sironko,Eastern,1981-03-01,276.49569936899036
Soroti,Eastern,1981-03-01,184.78920794547872
Ssembabule,Central,1981-03-01,145.70084635416666
Tororo,Eastern,1981-03-01,225.51375105574326
Wakiso,Central,1981-03-01,174.85908647017047
Yumbe,Northern,1981-03-01,119.77064732142857
Zombo,Northern,1981-03-01,-197.40261314655172
Abim,Northern,1981-04-01,133.0419921875
Adjumani,Northern,1981-04-01,178.26013304455446
Agago,Northern,1981-04-01,154.85294524336283
Alebtong,Northern,1981-04-01,193.93415178571428
Amolatar,Northern,1981-04-01,227.41029575892858
Amudat,Northern,1981-04-01,102.19877653301887
Amuria,Eastern,1981-04-01,187.16869055706522
Amuru,Northern,1981-04-01,181.33552989130436
Apac,Northern,1981-04-01,206.92713850635593
Arua,Northern,1981-04-01,133.75861750422297
Budaka,Eastern,1981-04-01,203.14093889508928
Bududa,Eastern,1981-04-01,215.9920987215909
Bugiri,Eastern,1981-04-01,226.46731085526315
Bugweri,Eastern,1981-04-01,217.69583834134616
Buhweju,Western,1981-04-01,169.33571555397728
Buikwe,Central,1981-04-01,144.16049194335938
Bukedea,Eastern,1981-04-01,204.046875
Bukomansimbi,Central,1981-04-01,133.88218287417763
Bukwo,Eastern,1981-04-01,180.8627464657738
Bulambuli,Eastern,1981-04-01,193.40553977272728
Buliisa,Western,1981-04-01,5.620190065298507
Bundibugyo,Western,1981-04-01,192.99586588541666
Bunyangabu,Western,1981-04-01,197.92734375
Bushenyi,Western,1981-04-01,150.70267159598214
Busia,Eastern,1981-04-01,260.76914469401044
Butaleja,Eastern,1981-04-01,218.691259765625
Butambala,Central,1981-04-01,123.50213623046875
Butebo,Eastern,1981-04-01,207.75558810763889
Buvuma,Central,1981-04-01,168.63545652636054
Buyende,Eastern,1981-04-01,231.8018838205645
Dokolo,Northern,1981-04-01,202.25480143229166
Gomba,Central,1981-04-01,132.03067452566964
Gulu,Northern,1981-04-01,191.6470568426724
Hoima,Western,1981-04-01,-292.1513135302198
Ibanda,Western,1981-04-01,168.9906508501838
Iganga,Eastern,1981-04-01,212.5625
Isingiro,Western,1981-04-01,145.7133731617647
Jinja,Eastern,1981-04-01,169.20145670572916
Kaabong,Northern,1981-04-01,94.98659620098039
Kabale,Western,1981-04-01,177.9266935649671
Kabarole,Western,1981-04-01,200.66213208575581
Kaberamaido,Eastern,1981-04-01,214.81682718211206
Kagadi,Western,1981-04-01,197.4799609375
Kakumiro,Western,1981-04-01,193.61735882675438
Kalaki,Eastern,1981-04-01,202.32470703125
Kalangala,Central,1981-04-01,191.85056023848685
Kaliro,Eastern,1981-04-01,231.22002704326923
Kalungu,Central,1981-04-01,125.22232759915866
Kampala,Central,1981-04-01,125.388916015625
Kamuli,Eastern,1981-04-01,214.764453125
Kamwenge,Western,1981-04-01,176.97063078703704
Kanungu,Western,1981-04-01,137.65894775390626
Kapchorwa,Eastern,1981-04-01,199.70975167410714
Kapelebyong,Eastern,1981-04-01,163.8108642578125
