district,region,date,predicted_rainfall_mm
Amudat,Northern,2026-01,10.288278679515889
Amudat,Northern,2026-02,21.199344784049185
Amudat,Northern,2026-03,50.28915199064675
Amudat,Northern,2026-04,107.43647911044587
Amudat,Northern,2026-05,96.51044480232162
Amudat,Northern,2026-06,64.77728798989166
Amudat,Northern,2026-07,124.47801532114539
Amudat,Northern,2026-08,122.20497357022069
Amudat,Northern,2026-09,86.93827333720789
Amudat,Northern,2026-10,91.8421787843933
Amudat,Northern,2026-11,47.04891017378369
Amudat,Northern,2026-12,23.772932223695406
Amuru,Northern,2025-11,137.81842715115425
Amuru,Northern,2025-12,50.407842031576486
Amuru,Northern,2026-01,16.350140395870316
Amuru,Northern,2026-02,29.9891499499767
Amuru,Northern,2026-03,85.67956868844634
Amuru,Northern,2026-04,151.5274103436443
Amuru,Northern,2026-05,162.2301941113775
Amuru,Northern,2026-06,119.27175679092932
Amuru,Northern,2026-07,128.3475151139945
Amuru,Northern,2026-08,173.3862305788955
Amuru,Northern,2026-09,153.34691802141887
Amuru,Northern,2026-10,160.7737122895829
Amuru,Northern,2026-11,111.60300677914199
Amuru,Northern,2026-12,53.11316558526002
Apac,Northern,2025-11,107.79853025308874
Apac,Northern,2025-12,85.77520650527985
Apac,Northern,2026-01,31.82471984583078
Apac,Northern,2026-02,73.6977030457625
Apac,Northern,2026-03,117.72804908999733
Apac,Northern,2026-04,168.70510037892672
Apac,Northern,2026-05,207.36746078489213
Apac,Northern,2026-06,113.01383397999126
Apac,Northern,2026-07,102.3817456546206
Apac,Northern,2026-08,151.88110187736066
Apac,Northern,2026-09,175.61609950668654
Apac,Northern,2026-10,155.82479993072624
Apac,Northern,2026-11,116.25948813446902
Apac,Northern,2026-12,86.36360659972156
Arua,Northern,2025-11,110.79509891032185
Arua,Northern,2025-12,22.249306445392907
Arua,Northern,2026-01,8.097988401084542
Arua,Northern,2026-02,31.042376024352123
Arua,Northern,2026-03,87.4581622560658
Arua,Northern,2026-04,131.89890612064121
Arua,Northern,2026-05,123.39151860350101
Arua,Northern,2026-06,97.69784417400561
Arua,Northern,2026-07,137.25068791463775
Arua,Northern,2026-08,169.78735805367498
Arua,Northern,2026-09,168.0670889710761
Arua,Northern,2026-10,178.63625240271696
Arua,Northern,2026-11,110.39936748405572
Arua,Northern,2026-12,22.598159984473405
Budaka,Eastern,2025-11,135.9724919186443
Budaka,Eastern,2025-12,79.379229116342
Budaka,Eastern,2026-01,40.71474341408741
Budaka,Eastern,2026-02,86.84098340906647
Budaka,Eastern,2026-03,110.46671758921559
Budaka,Eastern,2026-04,209.330639376097
Budaka,Eastern,2026-05,208.71086575697117
Budaka,Eastern,2026-06,155.65619364626534
Budaka,Eastern,2026-07,148.69074150955484
Budaka,Eastern,2026-08,162.4774532807563
Budaka,Eastern,2026-09,157.24511928870766
Budaka,Eastern,2026-10,164.49750227261018
Budaka,Eastern,2026-11,134.76788522273236
Budaka,Eastern,2026-12,86.65977089799655
Bugiri,Eastern,2025-11,145.28119996124113
Bugiri,Eastern,2025-12,143.07190152190606
Bugiri,Eastern,2026-01,82.27370907307882
Bugiri,Eastern,2026-02,101.33729045326696
